,title,entreprise,localisation,date,url to apply,details,job description
96,Développeur / Développeuse full-stack (H/F),Groupe AVEC,Ville de Paris,il y a 1 semaine,https://fr.linkedin.com/jobs/view/externalApply/3313249553?url=https%3A%2F%2Favec%2Efr%2Femploi%2Fdetail-offre%2F800563%2Fdeveloppeur-developpeuse-full-stack-%28h-f%29&urlHash=DfZe&refId=A%2FpiOZU9J0kMK9CBlEKzqQ%3D%3D&trackingId=wYCIsQZVFrWDAAhbGl%2FbpA%3D%3D&trk=public_jobs_apply-link-offsite,"Poste en contrat d'alternance.Dans le cadre du développement de notre site E-commerce BtoC, Pasolo.com (bientôt store.avec.fr), spécialiste français de la vente en ligne de matériel paramédical à destination des personnes âgées et dépendantes. nous recherchons un alternant Magento 2 - PHP pour compléter notre équipe. Poste basé à Vincennes (94).Description Du PosteConçoit, développe et met au point un projet d'application informatique, de la phase d'étude à son intégration, pour un client ou une entreprise selon des besoins fonctionnels et un cahier des charges.Peut conduire des projets de développement.Peut coordonner une équipe.Vos responsabilités au quotidienGestion et amélioration d'un site internet, Maintenance évolutive, Langages de programmation informatique, Systèmes d'exploitation informatique, Gestion de configuration, Programmation informatique, Méthode AGILEVotre profilDe formation minimum Bac +2/3, vous maîtrisez PHP, HTML, CSS, vous avez engrangé de premières expériences orientées E-commerce ou à minima une réelle appétence pour le secteur, un (ou plusieurs) projets Front-End ont déjà été réalisés/initiés, vous avez des premières bases serveurs (Google Cloud) et une maitrise de Git.Vous serez amené à travailler sur le CMS e-commerce Magento 2. Une première expérience avec cette technologie serait appréciée où à minima une réelle capacité à apprendre en autodidacte.Compétences RequisesMaîtrise de l'outil informatiqueNiveau d'études minimalSens de l'entreprenariat Informations sur le contratRemplacement définitif d'un poste existantContrat d'alternanceTemps plein 35hLieu de travail : Paris (75013)Rémunération : Selon le profil du candidat. Informations complémentairesRéférence : 800563Publié le 20/09/2021Contact : raphael.arroche@avec.fr , laure.besnard@avec.fr .","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services de bien-être et fitness"
97,Un(e) Développeur(se) full stack,France Télévisions Publicité,Boulogne-Billancourt,il y a 1 semaine,,"Nous recherchons un(e) Développeur(se) full stackDESCRIPTION DU POSTE :Au sein de la Direction des Projets Technologiques de France Télévisions Publicité, vous intégrez une équipe de développeurs en charge de l’évolution des outils de gestion commerciale et de diffusion des contenus publicitaires digitaux replay (mobiles, tablettes, desktop, IPTV) et de télévision segmentée live.PROFIL :De formation ingénieur ou avec une expérience significative en développement, vous êtes rigoureux, curieux et volontaire. Vous évoluerez dans une ambiance de travail sympathique et bienveillante, mélangeant le télétravail et le présentiel mais également un cadre technologique à la pointe de l’innovation dans lequel vous pourrez vous épanouir.Les technologies utilisées sont les suivantes :PHPFramework mvc (Zend Framework ou equivalent)ApigilityAngularGolangAWSOracle (PL/SQL)DockerGitHubLa connaissance de la méthode agile et de l’utilisation des outils Jira/confluence est appréciée.Les connaissances d’Athena (AWS), Grafana (AWS) et autres services AWS sont un plus dans nos échanges avec l’équipe DevOps.Poste à pourvoir immédiatement.","Confirmé,Temps plein,Publicité et Ingénierie,Services de publicité"
98,Développeur Front-end (H/F),Ad Scientiam,Ville de Paris,il y a 1 mois,,"Ad Scientiam est une start-up, basée dans le 13ème arrondissement et spécialisée dans le développement de dispositifs médicaux logiciels sur smartphone. Notre vocation est d'améliorer le quotidien des patients souffrant de certaines maladies chroniques.Nos centres d'intérêt sont les neurosciences avec la sclérose en plaques mais aussi la cardiologie et la rhumatologie. Les solutions que nous développons et validons dans des essais cliniques, collectent des données patients en vie réelle. Elles permettent d'améliorer l’efficience des soins, la qualité de vie des malades, mais aussi à faire avancer la recherche grâce à la multitude d’informations recueillies.Nous recherchons une personne autonome et motivée pour intégrer notre équipe d’une quarantaine de collaborateurs en tant que Développeur Frontend H/F. Vous serez rattaché(e) à la Lead Développeuse web, et vous participerez au développement de projets innovants dans le domaine de la e-santé.🎯 Vos mission sont les suivantes :* Développement web Angular et HTML, CSS* Développement mobile hybride avec Ionic et Capacitor* Maintien des pipelines CI/CD sur Azure Devops* Rédaction de tests unitaire / intégration✅ Votre profil minimum :Vous avez un Bac + 3 dans le développement web Vous avez de l'expérience dans :* Le développement web (Angular préféré ou une expérience de framework comme ReactJS ou Vue.js)* Les API Rest* La rédaction de tests automatisésEt* Vous aimez partager vos connaissances, faire des code reviews et du pair programming* Vous savez organiser votre veille technique et n'hésitez pas à proposer des nouvelles technos* Vous avez travaillé avec des équipes transverses (designer, produit...etc)Et c'est encore mieux si :* Vous avez une expérience de développement mobile hybride (Ionic / Capacitor)* Vous avez de l'expérience en architecture technique* Vous aimez automatiser les tâches et améliorer les pipelines de CI/CD* Et vous êtes adepte de la méthode AgileEt si vous êtes en plus intéressé par le monde de la santé et e-santé, vous vous sentirez ici chez vous. Pourquoi nous rejoindre ?🚀 Etre acteur-rice de projets toujours plus innovants dans la e-santé !⏰ Télétravail partiel possible pour ce poste.🧑💻 Un espace de coworking tout neuf.🩺 La mutuelle ALAN prise en charge à 100% par l'employeur.🍻 Des afterworks réguliers.🍊 Un panier de fruits de saison.🧘 Grand espace Chill avec babyfoot, Écran télé et jeux vidéos pour affronter vos collègues.💰 Rémunération attractive.",Temps plein
99,Développeur.e Fullstack JAVA/VUEJS (F/H),DHM IT,Neuilly-sur-Seine,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3332206044?url=https%3A%2F%2Fcarriere%2Edhm-it%2Ecom%2Fjobs%2F2088453-developpeur-e-fullstack-java-vuejs-f-h&urlHash=jiOJ&refId=A%2FpiOZU9J0kMK9CBlEKzqQ%3D%3D&trackingId=ZXbAeRYbEiGq9W2auo9azQ%3D%3D&trk=public_jobs_apply-link-offsite,"Dans le cadre de notre croissance et Afin de renforcer notre Squad Études et Développement, nous recherchons plusieurs Ingénieur.es / Développeur.es JAVA/JEE.Intégré.e au sein de nos équipes basées à Neuilly Sur Seine et/ou la région parisienne, vous pourrez mettre en pratique vos acquis et développer de nouvelles compétences techniques.MISSIONS:Intégré(e) à une nouvelle squad sous la responsabilité d'un Lead Développeur, vous aurez pour missions de:Prendre en charge la conception et le développement des nouvelles fonctionnalités de la plateforme en partenariat avec le Product Owner / Product Designer,Développement du projet back-end orienté micro-services,Développement du projet front-end Vuejs et/ou Angular Participation aux phases de tests et d’intégration, Développement d’API, Déploiement de solutions sur le cloud AWS, Assurer l'implémentation du niveau back-end, avec de forts enjeux d'ergonomie et de performance,Assurer une implémentation technique end-to-end en forte collaboration avec les équipes front-end,Participer activement aux phases de tests.PROFIL:Au moins 2 ans d'expérience en tant que JAVA/JEE, idéalement avec une expérience en Angular et/ou VueJs.  Langages de programmation et Frameworks: Java 8/11, Spring / Spring Boot / Spring Data JPA / Spring Security;Maitrise du développement des Api Rest dans une Architecture Microservice; Une première expérience en Node et/ Go est un plus; Développement Front: Javascript, TypeScript, Angular et/ou VueJs et/ou React;  Versioning : Git, GitFlow, Gitlab; Test / Quality: Junit, Selenium, Mockito, Cucumber, Jasmine, Test e2e Search / Queueing: SolR et/ ou ElasticSearch, RabbitMQ et/ou Kafka  Performance/sécurité: Jmeter , Gatling , JWT, JUnit, Mockito; Devops / Cloud : Docker, Puppet, terraform, kubernetes, ansible, AWS, GCP, SGBD: MySQL, MongoDB, Oracle, PostgreSQL; Méthodologie : Scrum / Safe.SOFT SKILLS:Passionné.e par les technologies innovantes;Désireux.se de t’investir dans des projets challengeant et gagner rapidement en responsabilités;Pédagogue, emphatique et ""Problem Solver"";Doté.e d’un excellent relationnel, d’un sens prononcé du service et de la qualité;Excellent niveau de Français à l'oral et à l'écrit, l'Anglais serait un véritable plus.AVANTAGE / CONTEXTE :Entreprise de nouvelle génération à taille humaine, DHM IT s’engage fortement dans la mouvance RSE en proposant à ses consultants et salariés un cadre de travail sain où chacun pourra s’épanouir, se former et progresser à son rythme et selon ses aspirations.Rémunération attractive;Un fort esprit Startup nouvelle génération;Participation dans notre stratégie RSE;Formation, certification, Workshop, DHM University;Carte resto, Titre de transport, Mutuelle et prévoyance; Team buildings, Events, Sport Collectif;Travail remote friendly;Un environnement de travail 100% Agile; Des challenges, des nouvelles expériences et des projets innovants;Une hiérarchie Smart.","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services et conseil informatiques"
100,Développeur(se) frontend Angular - HR Tech en hyper croissance - Remote,Octopus IT - Expert du recrutement tech,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3332211524?url=https%3A%2F%2Fjobs%2Eoctopusit%2Efr%2Fjobs%2F1752400-developpeur-se-frontend-angular-hr-tech-en-hyper-croissance-remote&urlHash=6e_S&refId=jrWcPIuWhs96FekDp8dDBg%3D%3D&trackingId=NR2gUlpLy0v41wR6V1FzZg%3D%3D&trk=public_jobs_apply-link-offsite,"La sociétéLancée en mai 2016, cette startup en hyper croissance est la principale plateforme de travail étudiant à la demande, avec plus de 300 000 jeunes inscrits et 3500 entreprises clientes. Elle met en relation des indépendants avec des entreprises pour la réalisation de tous types de prestations partout en France.Véritable solution d’égalité des chances, la plateforme offre aux jeunes, grâce à son algorithme de matching neutre, des jobs quels que soient leur parcours, leurs envies, ou encore leur lieu de résidence. Ainsi, ce sont des milliers de jeunes qui, chaque mois, gagnent de l’expérience et financent leur quotidien.Solution 100% digitale, l'entreprise propose un service clé en main : du matching, en passant par la facturation et le paiement, tout est pris en charge afin de permettre aux entreprises et aux jeunes de travailler ensemble simplement.Depuis 2019, l'entreprise a souhaité renforcer ce projet humain et éthique en développant le premier organisme de formation pour les jeunes indépendants. Ces derniers peuvent ainsi compléter l’expérience qu’ils gagnent sur le terrain par des formations professionnalisantes, et gagner en employabilité.Pour soutenir sa croissance, nous cherchons des personnes aux profils et expériences variés qui cherchent à s’engager dans un projet avec un réel impact social.Le postePour consolider son équipe tech et mener des projets d’envergure de refonte de l’existant et de création de nouvelles fonctionnalités, l'équipe est à la recherche d’un.e Développeur.euse Front-end Senior.Tu seras amené(e) à encadrer d’autres développeurs front et seras épaulé.e par un Lead Developer et le CTO.Tu interagiras en permanence avec l’ensemble de l’équipe tech.Missions principalesOptimisation UX/UI des espaces client en collaboration avec l’équipe produitOptimisation des performances des applicationsCréation from scratch de PWARéflexion sur l’architectureFaire monter en compétence l’équipeLa stack actuelleFrontend : Angular 8, Typescript, Material DesignBackend : PHPRabbitMQMySQLElastic Search Python (3.6) et librairies de Machine Learning associéesReact NativeLes évolutions à venir dépendront majoritairement de vous et de vos préconisations.Votre profilMaîtrise de la stack (Angular, Typescript, Javascript…) : à partir de 3 ans d'XPConnaissance de GitVolonté de toujours progresser et forte curiosité techniqueVrai intérêt pour les bonnes pratiques de développement (standards, tests unitaires, documentation, etc.)Motivation et ouverture d’esprit Tu es force de propositionLe salaire & avantages50-65K€ selon expérienceMutuelle ALANRemote : 1 fois dans les locaux / mois minimum Macbook Et plus encore…Ce qu’on préfèreDes Lunch&Learn avec des intervenants externes sur des sujets divers : management, la formation…Des supers locaux, spacieux, modernes et confortables Nouer de vraies relations avec ses collègues lors de moments sympas et réguliers (Team building annuel, footings collectifs, apéros, crossfit le midi, etc.)Ce poste a été soigneusement choisi par votre coach. Powered by Octopus IT, cabinet d’Experts en Recrutement Tech (CDI et clients finaux uniquement) – Visitez nous pour plus d’opportunités : www.octopusit.fr","Non pertinent,Temps plein,Autre,Services de ressources humaines"
101,Developpeur Fullstack en Alternance H/F,Institut F2I,Paris,il y a 1 mois,https://fr.linkedin.com/jobs/view/externalApply/3322437614?url=https%3A%2F%2Ft%2Eholeest%2Ecom%2F%3Fpoc%3D2%26op%3D1051537552%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F23744168%2Ehtml%253Futm_campaign%253Dclassique%252B-%252Blinkedin%252B-%252Binformatique%2526utm_medium%253Dmetamoteurs-free%2526utm_source%253Dlinkedin%2526utm_content%253Dfluxlinkedin%2526utm_term%253D23744168&urlHash=SBSd&refId=jrWcPIuWhs96FekDp8dDBg%3D%3D&trackingId=QGgXKbXQPj3yZ6gxb0BPng%3D%3D&trk=public_jobs_apply-link-offsite,"Fondé en 1998, l'Institut F2I est aujourd'hui un acteur majeur sur le marché de la formation post bac. Spécialisé dans les domaines de l'informatique, du digital et du commercial, nous proposons des formations allant du BAC+2 au BAC+5 en schéma initial ou en alternance.L'Institut F2i cherche pour l'une de ses entreprises partenaire un alternant Développeur Fullstack H/F JavaScript/Typescript (NestJS, Strapi en back et intégration React/Vue ou Angular). Force de proposition, nous cherchons une personne en quête d'un challenge qui saura se montrer habile face à des problématiques techniques et à des environnements de développement nouveaux. Compétences :HTML / CSS / JavaScript ou Typescript (idéalement NestJS ou Node JS / NPM).Task runners (Webpack, Gulp, etcDesign Integration / Responsive-Design / Accessibilité.Connaissance et pratique d'un framework front-end (React, Vue, Angular, etcConnaissance de Git / Git-flow. Date : Immédiat Lieu : Paris Avantages : Participation au Transport, Titre-restaurant, 13e MoisBac +2 (BTS, DUT, DEUG).Alternant de préférence.Salaire : minimum légal en fonction de l'âge et année d'alternance.Type d'emploi : Temps plein.","Premier emploi,Contrat,Ingénierie et Technologies de l’information,Enseignement supérieur"
102,Développeur Python (H/F),Extia,Paris,,,"Vous souhaitez rejoindre une entreprise qui place l’humain au cœur de ses préoccupations ? On vous attend chez Extia !Société de conseil spécialisée dans les métiers de l’IT, de l’ingénierie et du digital, Extia privilégie depuis sa création en 2007 une approche qui allie performance et bien-être au travail. Une vision de l’entreprise partagée aujourd’hui par plus de 2 200 Extien(ne)s en France et à l'international et récompensée depuis 2012 par le label Great Place to Work®.Chez Extia, c’est « D’abord qui, ensuite quoi » alors, allons-y !D'abord quiCurieux, poser des questions est votre seconde natureBon communiquant, vous créez facilement du lien avec les nouvelles personnes que vous rencontrezRigoureux, vous ne laissez rien au hasardEnsuite quoi**DESCRIPTION DU POSTE **Entouré(e) d’une équipe de passionnés, comme vous, vous aurez la charge de :Participer au maintien opérationnel des outils et au développement de nouvelles fonctionnalités,Réaliser les tests unitaires, d’intégration et méthode de test BDD, TDD,Réaliser la correction des anomalies éventuelles,Participer à la rédaction de la documentation,Participer au processus l’intégration continue,Construire et utiliser des APIs,Participer à des projets avec de fortes contraintes techniques, de sécurité et de performances.**PROFIL RECHERCHE **Vous avez une expérience d’au moins 2 ans en développement Python, la maîtrise des Framework Django et/ou Flask est un plus.Force de proposition, vous êtes rigoureux(se) et efficace dans votre travail. Idéalement vous avez déjà travaillé en méthodologie Agile.Vous maîtrisez ou souhaitez vous familiariser avec les outils DevOps : Jenkins, Kubernetes par exemple.Vous parlez couramment français et anglais","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services et conseil informatiques"
103,Full Stack Developer - Stage,Kili Technology,Paris,il y a 2 semaines,https://fr.linkedin.com/jobs/view/externalApply/3304089051?url=https%3A%2F%2Fcareers%2Ekili-technology%2Ecom%2Fjobs%2F2129695-full-stack-developer-stage&urlHash=apZg&refId=jrWcPIuWhs96FekDp8dDBg%3D%3D&trackingId=MlsapUkKc7gER%2BDONLi77A%3D%3D&trk=public_jobs_apply-link-offsite,"A propos de KiliD’après Gartner, 80% des projets d’IA ne sont jamais mis en production. Kili aide les enterprises à résoudre ce problème avec l’approche Data-Centric AI.Notre plateforme permet à des companies telles que SAP, Airbus ou Capgemini de migrer de l’approche “big data” vers l’approche “good data”. Cela leur permet de développer des projets d’IA de meilleure qualité, d’accélérer les cycles de mise en production, tout en ayant une meilleure transparence.La société a obtenu plus de 30 millions de dollars de capital-risque de premier plan (Serena Capital, Headline, Balderton) ainsi que le soutien de business angels prestigieux (PDG d'Algolia, PDG de Datadog, etc.). Nous sommes en passe de devenir un acteur majeur dans le domaine de l'IA.Chez Kili, il est essentiel d'assurer un environnement où tous nos talents se sentent libres de créer et de prendre des risques ensemble. Notre objectif est d'encourager notre culture basée sur le bien-être, l'honnêteté et la curiosité tout en étant ambitieux.Nous sommes à la recherche de notre prochain·e stagiaire Full Stack pour rejoindre notre équipe dynamique et en pleine croissance à Paris. A propos du posteEn tant que stagiaire Full Stack, tu feras partie d’une des squads du pôle ingénierie. Chaque squad est composée d’un Project Manager, un squad leader et plusieurs développeurs. Tu seras coaché·e par un développeur senior qui te permettra de rapidement monter en compétences sur toutes les technologies utilisées à Kili, afin de pouvoir développer tes propres features. Tu apprendras l’approche TDD dans une architecture de micro services au sein d’une stack en TypeScript et Python.Responsabilités clés :Tu seras intégré·e au sein d’une des squadsAccompagné·e de ton maître de stage, tu contribueras au développement et à l’amélioration des features de la plateformeTu feras de la recherche sur une technologie à l’état de l’art pour ton sujet de stage A propos de toi :Tu es :💻 Tu es en dernière année d’école d’ingénieur ou en M2 avec une spécialisation informatique🇬🇧 Tu parles anglais🤖Tu sais analyser la complexité de ton code👥 Tu aimes travailler en équipeTu es familier·ère avec les technos suivantes :TypeScriptAu moins un framework frontend (React, Angular, Django…)GitSi tu as déjà été confronté·e à ces technologies de notre stack, c’est un plus :Node.jsCSSGraphQLDockerPython Ce que nous offrons :🤑 Une rémunération compétitive💻 Un MacBook Pro avec une super config pour ton travail🗼 Locaux en plein centre de Paris ET un rooftop avec vue sur la tour Eiffel !🦄 L'opportunité de travailler dans un environnement international et convivial.🧦 Une organisation du travail flexible et l'accès au télétravail🍺 Des afterworks tous les jeudis🍔 Carte ticket restaurant et Pass Navigo remboursé à 50%  Kili est un employeur qui respecte l'égalité des chances. Toutes les candidatures qualifiées seront considérées sans tenir compte de la race, du sexe, du genre, de l'orientation sexuelle, de l'âge, de la couleur, de la religion, de l'origine nationale, du statut de vétéran protégé ou sur la base d'un handicap.","Non pertinent,Autre,Ingénierie et Technologies de l’information,Développement de logiciels"
104,Développeuse/Développeur Front End,OCTO Technology,Paris et périphérie,il y a 1 semaine,,"Vous faites partie de ceux qui pensent que même avec 5 ans d’expérience, on peut toujours apprendre et être challengé ? PROFIL F/H Vous disposez d’au moins 3 ans d’expérience sur des fonctions IT et de conseil, dans une environnement d’innovation et d’agilité Vous savez et/ou voulez développer des applications avec des interactions plus ou moins complexes au moyen de javascript / typescript, HTML et CSS etc… Vous savez concevoir des architectures réactives, scalables et pérennes grâce à des Frameworks éprouvés (React, Angular, Vue.JS, NodeJS) et des patterns reconnus (Web Component, Progressive Web App) Vous avez une expérience en développement et possédez une sensibilité à faire de l’UX (User Experience) Vous avez de l’écoute, aimez partager, et êtes à l’aise pour conseiller voire challenger les demandes de vos clients Vous souhaitez vous confronter et contribuer à une communauté d’experts, pour qui l’évolution des pratiques et l’apprentissage continu font particulièrement sens DESCRIPTIF Le développement front-end web n'est pas l'affaire de bricoleurs dans leur garage !  Le front est un terrain de jeu idéal pour la R&D et l'industrialisation ! En tant que consultant OCTO vous accompagnez nos clients dans l’expérimentation, vous les challengez et tentez de tirer le meilleur de chaque solution en fonction de chaque contexte. En nous rejoignant : Vous n’hésiterez pas à challenger un client quand l’expérience permet de proposer une solution plus adaptée Vous aurez à coeur la transmission des compétences au client pour permettre à ce dernier de devenir autonome (le savoir n’est pas chasse-gardée !) Vous préconiserez la mise en place d’un accompagnement méthodologique, au-delà du conseil Vous ne vous contenterez pas d’émettre des préconisations autour du Front, et des architectures réactives, scalables et pérennes : vous les développerez et vous les mettrez en œuvre Le tout en vous appuyant sur une communauté de consultants et d’experts de haute volée. Nos missions Web Front : Audit et cadrage de projets (architecture, méthodologie, qualité de code), Réalisation/accompagnement de projets et d’avant ventes, Formation et évangélisation sur les différentes technologies et méthodologies que nous utilisons. Mais ce que nous cherchons avant tout, ce sont des personnalités qui enrichiront OCTO. Nous les reconnaissons à leur volonté de participer à l’amélioration de la vie de l’entreprise, de construire la vision et les offres de demain, de partager leurs connaissances pour faciliter la montée en compétences réciproque. De rejoindre, enfin, une communauté qui n’a pas peur d’affirmer sa différence.","Confirmé,Temps plein,Conseil,Services et conseil informatiques"
105,Développeuse / Développeur Fullstack (Full Remote),Pubstack,Paris,il y a 1 mois,https://fr.linkedin.com/jobs/view/externalApply/3318535449?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fpubstack%2F39885b24-3933-4c34-98a5-2e4bb36763d6%2Fapply%3Flever-source%3DLinkedIn&urlHash=ZX0r&refId=jrWcPIuWhs96FekDp8dDBg%3D%3D&trackingId=9p3kVvLCHLWH4%2FNn6F9vfA%3D%3D&trk=public_jobs_apply-link-offsite,"🌟 Nous sommes PubstackPubstack est une startup full-remote en pleine croissance (+120% de croissance en 2021) basée à Paris et fondée en juillet 2018. Soutenus par des investisseurs prestigieux, nous avons collecté 2,3 millions d’euros lors d’une première levée de fonds et une autre arrive très prochainement.Pubstack est une plate-forme SaaS qui permet aux éditeurs d’analyser leurs revenus publicitaires en temps réel et leur fournit les outils pour prendre le contrôle de leur monétisation afin de tirer la plus grande valeur de leur contenu. Le secteur de l’AdTech est complexe et notre mission est d'apporter de la transparence à tous les niveaux, en mettant l'accent sur les besoins des éditeurs.Bien que la plupart d'entre nous travaillent à distance, nous restons une équipe soudée de 30 personnes et l’entraide est au coeur de nos valeurs. Nous travaillons en pair-programming et notre environment est basé sur la confiance, offrant beaucoup d’indépendance et d’autonomie. La remise en question au centre de notre démarche ; nous essayons constamment d’améliorer nos process, mais également de nous améliorer professionnellement et personnellement.✨ Ce que nous construisonsLorsque vous arrivez sur un site web, il y a une enchère derrière chaque annonce, en fonction de votre profil.Nous recueillons les données anonymes de chaque enchère, sur des sites Web du monde entier. Nous traitons et agrégeons des millions de données en temps réel afin de les restituer dans des visualisations au sein de notre application.Nous offrons aux éditeurs la possibilité d'approfondir leurs données et d'avoir une transparence sur leurs revenus. Nous leur donnons la possibilité d’agir et d'optimiser leur configuration sur la base de données concrètes et fiables.Pour fournir un produit que nos clients adorent, nous abordons et résolvons des problèmes techniques complexes à grande échelle, en utilisant le cloud et les meilleures technologies open source d'aujourd'hui.⚙️ Comment nous le construisonsNous sommes polyglottes et nous aimons expérimenter de nouvelles technologies et de nouveaux langages quand nous pensons qu’ils vont nous aider à aller plus vite et plus loin, toujours dans l’optique de répondre au mieux aux besoins de nos utilisateurs. Pubstack est construit sur une architecture cloud serverless, principalement hébergée par AWS à l'aide de Lambdas, Kinesis, ECS, DynamoDB, Athena et bien plus encore L'application est composée d'un frontend Vue.js et d'un backend Node.js, tous deux écrits en Typescript La réactivité de notre application est assurée par un cluster ElasticSearch Les pipelines de traitement de données en temps réel contiennent des composants écrits en Rust et Golang Nous déployons nos scripts de monitoring et d'optimisation sur les pages Web du monde entier, tous deux écrits en Typescript Notre CI/CD s’appuie sur Terraform et Github Action🙌 Qui sont les techiesRejoins une équipe provenant de divers horizons, focalisée sur le fait de délivrer du soft de qualité en suivant un rythme agile et rapide.Afin d'atteindre notre objectif, l’équipe repose sur les piliers suivants : Le full-remote avant tout - Nous sommes répartis sur toute la France Le pair-programming - Nous sommes une équipe entièrement résiliente Orienté utilisateur - Nous résolvons les vrais problèmes de nos utilisateursNous visons à avoir un impact pour nos clients mais aussi pour nos coéquipiers, ici chez Pubstack.Nous considérons les langages, les frameworks et les environnements comme des outils pour résoudre des problèmes, et non l’objectif final.Nous essayons de maintenir la structure de notre équipe aussi horizontale que possible et nous croyons à la confiance, au partage des connaissances et aux décisions prises en équipe.🚀 Les défis qui t’attendentDévelopper, améliorer et maintenir notre application web d’analyticsAssurer une communication parfaite de l’app avec toutes nos technologies backend telles qu’ElasticSearch ou AWS AthenaConcevoir des éléments significatifs de notre expérience client, en étroite collaboration avec l’équipe produitÉcrire du code, participer aux décisions architecturales pour les nouveaux services et ceux existantsS'assurer que l'équipe livre constamment du code et une architecture de qualité🌟 Qui cherchons-nous ?Nous souhaitons faire évoluer notre équipe avec des profils variés pouvant apporter leur vision à l'équipe. Si ton profil ne correspond pas exactement à notre offre mais que tu souhaites évoluer dans ce sens, n'hésite pas à postuler.Nous recherchons des ingénieur(e)s expérimenté(e)s avec au moins 3 ans d'expérience qui souhaitent évoluer avec Pubstack.Tu es le candidat ou la candidate parfait(e) pour Pubstack si tu as : Une maîtrise professionnelle du français 🇫🇷 et de l'anglais 🇬🇧 Une expérience significative avec Node, Typescript ou Javascript Enthousiasmé par les frameworks frontend tels que React ou Vue Prêt(e) à découvrir d’autres parties de notre backend, écrites en Golang et en Rust (même si tu n’en a pas l’expérience) Convaincu(e) que la communication écrite et asynchrone sont les clés du succès dans une équipe full-remote Curieux(se) et ouvert(e) d'esprit tout en étant capable de partager tes convictions La volonté d'apprendre, d'aider ses coéquipiers et d'évoluer avec l'équipe Envie de travailler en pair-programming toute la semaine Prêt(e) à prendre des décisions difficiles qui améliorent Pubstack à la fois en tant que lieu de travail et que produit Prêt(e) à travailler dans un environnement qui bouge vite et à forte croissance pour créer un produit disruptif🌍 Pourquoi nous rejoindre ? Équipe horizontale, agile et distribuée qui croit au partage des connaissances et aux décisions prises en équipe Programmation en binôme avec des collègues ambitieux, excellents dans leur domaine, humbles et sympathiques Entreprise à taille humaine avec une énorme croissance internationale Communication interne en toute transparence Salaire concurrentiel Matériel haut de gamme Tickets Restaurant (Swile) Bureaux à Paris, juste au-dessus du Sentier Evénements hors-site tous les trimestres🧑 Notre processus de recrutement Entretien de présélection (30mn) Tech Interview I: Démonstration Pubstack, Questions du candidat, Human fit, Session de pair-programming (2 pubstackers - 1h30) Tech Interview II: Human fit, Plus de questions (2 autres pubstackers - 30mn/1h00) Dernier échange, proposition (1 pubstacker / RH - 30mn)","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Technologie, information et Internet"
106,Développeur ReactJS,agap2IT France,Hauts-de-Seine,il y a 3 semaines,,"agap2 IT est une société européenne de conseil spécialisée en développement et gestion de projets informatiques. La réputation d’agap2 IT s’est construite grâce à son état d’esprit, son management et son mental entrepreneurial.Depuis notre création en 2005, nous mettons en avant la proximité, la transparence et le respect.Dans le cadre d'un projet client, nous recherchons un développeur/Tech Lead ReactJS. Avec l'accompagnement d'un Product Owner, vous serez intégré(e) dans une équipe en charge de participer à la réalisation du développement d'une nouvelle plateforme dans le domaine aéronautique.Vos missions :Développer from scratch en ReactJSParticipation à l'architecture et la conceptionAccompagnement de développeurs Front juniors Mettre en place les tests unitaires et fonctionnels Mettre à jour et amélioration de la plateforme existante et de l’UXTravail en équipe et application de la méthode AgileFaire le lien avec l’équipe de développement Backend (Java)Veille technologiqueProfil recherché :3 ans d’expérience en développement Frontend2 an d’expérience en développement ReactHTML5 / CSS3 / JavaScript / TypescriptMaîtriser le Framework React et les outils de développement Frontend tels que Gitlab, Gulp, Webpack, NPM, etc…Expériences en Headless architecture, API RestJira, Slack, méthodologie AgileConnaissances en Java seraient un plusNous rejoindre c’est…Evoluer régulièrement sur des nouveaux projets, découvrir de nouveaux métiers et secteurs, travailler à l’international, accéder rapidement à des postes à responsabilités…Être acteur du développement de la société : identification d’opportunités, organisation d’événements, recrutement de nouveaux collaborateurs…Rejoindre l’aventure agap2 IT, ça ne se raconte pas, ça se vit tous les jours au sein de nos agences et lors des nombreux évènements organisés chaque mois !","Confirmé,Temps plein,Ingénierie et Technologies de l’information,Services et conseil informatiques"
